Dataset,Pruning_Type,Threads,CodeGen_Time,Execution_Time,Result_Count,Throughput,SearchSpace_Reduction
wiki,None,1,,0.231402,4514137,1.95077e+07,0.0
wiki,Static,1,,0.221398,4514137,2.03892e+07,5.00
wiki,Eager,1,,0.241711,4514137,1.86758e+07,-4.00
wiki,Online,1,,0.270841,4514137,1.66671e+07,-17.00
wiki,CostModel,1,,0.292023,4514137,1.54582e+07,-26.00
wiki,None,2,,0.315213,4514137,1.43209e+07,0.0
wiki,Static,2,,0.302535,4514137,1.4921e+07,5.00
wiki,Eager,2,,0.332583,4514137,1.3573e+07,-5.00
wiki,Online,2,,0.294699,4514137,1.53178e+07,7.00
wiki,CostModel,2,,0.452808,4514137,9.9692e+06,-43.00
wiki,None,4,,0.351971,4514137,1.28253e+07,0.0
wiki,Static,4,,0.309838,4514137,1.45693e+07,12.00
wiki,Eager,4,,0.338671,4514137,1.3329e+07,4.00
wiki,Online,4,,0.322598,4514137,1.39931e+07,9.00
wiki,CostModel,4,,0.295009,4514137,1.53017e+07,17.00
wiki,None,6,,0.301804,4514137,1.49572e+07,0.0
wiki,Static,6,,0.354584,4514137,1.27308e+07,-17.00
wiki,Eager,6,,0.277231,4514137,1.62829e+07,9.00
wiki,Online,6,,0.284845,4514137,1.58477e+07,6.00
wiki,CostModel,6,,0.286113,4514137,1.57774e+07,6.00
wiki,None,8,,0.273379,4514137,1.65124e+07,0.0
wiki,Static,8,,0.284878,4514137,1.58459e+07,-4.00
wiki,Eager,8,,0.292173,4514137,1.54502e+07,-6.00
wiki,Online,8,,0.291245,4514137,1.54994e+07,-6.00
wiki,CostModel,8,,0.290624,4514137,1.55326e+07,-6.00
wiki,None,12,,0.276871,4514137,1.63041e+07,0.0
wiki,Static,12,,0.279657,4514137,1.61417e+07,-1.00
wiki,Eager,12,,0.284517,4514137,1.5866e+07,-2.00
wiki,Online,12,,0.289482,4514137,1.55939e+07,-4.00
wiki,CostModel,12,,0.281661,4514137,1.60268e+07,-1.00
wiki,None,16,,0.277717,4514137,1.62545e+07,0.0
wiki,Static,16,,0.27994,4514137,1.61254e+07,0
wiki,Eager,16,,0.287612,4514137,1.56952e+07,-3.00
wiki,Online,16,,0.291525,4514137,1.54846e+07,-4.00
wiki,CostModel,16,,0.271835,4514137,1.66062e+07,3.00
enron,None,1,,0.203142,5809356,2.85975e+07,0.0
enron,Static,1,,0.290895,5809356,1.99706e+07,-43.00
enron,Eager,1,,0.259278,5809356,2.24059e+07,-27.00
enron,Online,1,,0.261169,5809356,2.22437e+07,-28.00
enron,CostModel,1,,0.264778,5809356,2.19405e+07,-30.00
enron,None,2,,0.260328,5809356,2.23155e+07,0.0
enron,Static,2,,0.256939,5809356,2.26099e+07,2.00
enron,Eager,2,,0.256651,5809356,2.26353e+07,2.00
enron,Online,2,,0.278387,5809356,2.08679e+07,-6.00
enron,CostModel,2,,0.244663,5809356,2.37444e+07,7.00
enron,None,4,,0.26785,5809356,2.16888e+07,0.0
enron,Static,4,,0.265267,5809356,2.19001e+07,1.00
enron,Eager,4,,0.272372,5809356,2.13288e+07,-1.00
enron,Online,4,,0.360676,5809356,1.61068e+07,-34.00
enron,CostModel,4,,0.566741,5809356,1.02505e+07,-111.00
enron,None,6,,0.503779,5809356,1.15316e+07,0.0
enron,Static,6,,0.368826,5809356,1.57509e+07,27.00
enron,Eager,6,,0.404038,5809356,1.43782e+07,20.00
enron,Online,6,,0.390699,5809356,1.48691e+07,23.00
enron,CostModel,6,,0.353303,5809356,1.6443e+07,30.00
enron,None,8,,0.348067,5809356,1.66904e+07,0.0
enron,Static,8,,0.344327,5809356,1.68716e+07,2.00
enron,Eager,8,,0.372569,5809356,1.55927e+07,-7.00
enron,Online,8,,0.330635,5809356,1.75703e+07,6.00
enron,CostModel,8,,0.314957,5809356,1.84449e+07,10.00
enron,None,12,,0.316099,5809356,1.83783e+07,0.0
enron,Static,12,,0.317902,5809356,1.8274e+07,0
enron,Eager,12,,0.327485,5809356,1.77393e+07,-3.00
enron,Online,12,,0.368093,5809356,1.57823e+07,-16.00
enron,CostModel,12,,0.369275,5809356,1.57318e+07,-16.00
enron,None,16,,0.331611,5809356,1.75186e+07,0.0
enron,Static,16,,0.378393,5809356,1.53527e+07,-14.00
enron,Eager,16,,0.336782,5809356,1.72496e+07,-1.00
enron,Online,16,,0.396372,5809356,1.46563e+07,-19.00
enron,CostModel,16,,0.439271,5809356,1.3225e+07,-32.00
