Dataset,PatternCategory,QueryFile,QueryVertices,QueryEdges,Threads,LoadTime_s,ExecutionTime_s,Result_Count,Memory_Peak_MB,Status,Notes
roadNet-CA,small_dense_4v,query_sample_4v_1.graph,4,3,1,,N/A,N/A,0,FAILED,Exit code 125
roadNet-CA,small_dense_4v,query_sample_4v_1.graph,4,3,4,,N/A,N/A,0,FAILED,Exit code 125
roadNet-CA,small_dense_4v,query_sample_4v_1.graph,4,3,16,,N/A,N/A,0,FAILED,Exit code 125
roadNet-CA,small_dense_4v,query_sample_4v_1.graph,4,3,32,,N/A,N/A,0,FAILED,Exit code 125
roadNet-CA,small_dense_4v,query_sample_4v_1.graph,4,3,64,,N/A,N/A,0,FAILED,Exit code 125
roadNet-CA,small_dense_4v,query_sample_4v_2.graph,4,3,1,,N/A,N/A,0,FAILED,Exit code 125
roadNet-CA,small_dense_4v,query_sample_4v_2.graph,4,3,4,,N/A,N/A,0,FAILED,Exit code 125
roadNet-CA,small_dense_4v,query_sample_4v_2.graph,4,3,16,,N/A,N/A,0,FAILED,Exit code 125
roadNet-CA,small_dense_4v,query_sample_4v_2.graph,4,3,32,,N/A,N/A,0,FAILED,Exit code 125
roadNet-CA,small_dense_4v,query_sample_4v_2.graph,4,3,64,,N/A,N/A,0,FAILED,Exit code 125
roadNet-CA,small_dense_4v,query_sample_4v_3.graph,4,3,1,,N/A,N/A,0,FAILED,Exit code 125
roadNet-CA,small_dense_4v,query_sample_4v_3.graph,4,3,4,,N/A,N/A,0,FAILED,Exit code 125
roadNet-CA,small_dense_4v,query_sample_4v_3.graph,4,3,16,,N/A,N/A,0,FAILED,Exit code 125
roadNet-CA,small_dense_4v,query_sample_4v_3.graph,4,3,32,,N/A,N/A,0,FAILED,Exit code 125
roadNet-CA,small_dense_4v,query_sample_4v_3.graph,4,3,64,,N/A,N/A,0,FAILED,Exit code 125
roadNet-CA,small_dense_4v,query_sample_4v_4.graph,4,3,1,,N/A,N/A,0,FAILED,Exit code 125
roadNet-CA,small_dense_4v,query_sample_4v_4.graph,4,3,4,,N/A,N/A,0,FAILED,Exit code 125
roadNet-CA,small_dense_4v,query_sample_4v_4.graph,4,3,16,,N/A,N/A,0,FAILED,Exit code 125
roadNet-CA,small_dense_4v,query_sample_4v_4.graph,4,3,32,,N/A,N/A,0,FAILED,Exit code 125
roadNet-CA,small_dense_4v,query_sample_4v_4.graph,4,3,64,,N/A,N/A,0,FAILED,Exit code 125
roadNet-CA,small_dense_4v,query_sample_4v_5.graph,4,3,1,,N/A,N/A,0,FAILED,Exit code 125
