Dataset,Pattern,Pattern_Size,Threads,LoadTime_s,ExecutionTime_s,Result_Count,Memory_MB,Speedup,Efficiency,Status
dblp,4clique,4,1,0.0161176,0.602232,16713192,19.7,1.00,100.0,SUCCESS
dblp,4clique,4,4,0.0174384,0.175546,16713192,19.9,3.43,85.7,SUCCESS
dblp,4clique,4,16,0.0168032,0.0668614,16713192,20.0,9.00,56.2,SUCCESS
dblp,4clique,4,32,0.016043,0.0492092,16713192,20.3,12.23,38.2,SUCCESS
dblp,4cycle,4,1,0.0166359,1.07356,203394,19.5,1.00,100.0,SUCCESS
dblp,4cycle,4,4,0.0163197,0.292549,203394,19.9,3.66,91.5,SUCCESS
dblp,4cycle,4,16,0.016918,0.0946735,203394,20.1,11.33,70.8,SUCCESS
dblp,4cycle,4,32,0.0165081,0.0624034,203394,20.5,17.20,53.7,SUCCESS
dblp,5clique,5,1,0.0128622,1.07617,203394,19.5,1.00,100.0,SUCCESS
dblp,5clique,5,4,0.0115697,0.294128,203394,19.8,3.65,91.2,SUCCESS
dblp,5clique,5,16,0.0163484,0.0953269,203394,19.9,11.28,70.5,SUCCESS
dblp,5clique,5,32,0.0106067,0.059104,203394,20.5,18.20,56.8,SUCCESS
dblp,triangle,3,1,0.0165762,0.166472,2224385,19.6,1.00,100.0,SUCCESS
dblp,triangle,3,4,0.0165073,0.0653958,2224385,19.8,2.54,63.5,SUCCESS
dblp,triangle,3,16,0.0167242,0.0370198,2224385,19.9,4.49,28.0,SUCCESS
dblp,triangle,3,32,0.0167609,0.0323147,2224385,20.1,5.15,16.0,SUCCESS
dblp,your_4v,4,1,N/A,N/A,N/A,N/A,N/A,N/A,FP_EXCEPTION
dblp,your_4v,4,4,N/A,N/A,N/A,N/A,N/A,N/A,FP_EXCEPTION
dblp,your_4v,4,16,N/A,N/A,N/A,N/A,N/A,N/A,FP_EXCEPTION
dblp,your_4v,4,32,N/A,N/A,N/A,N/A,N/A,N/A,FP_EXCEPTION
